Category,Brand,Product Name,Full Title,Shipping,Price
Laptop,ASUS,"TUF Gaming - 18.0"" GeForce RTX 5070 Laptop GPU - AMD Ryzen 7 260 - 16GB (8GBx2) Memory - 1 TB PCIe SSD - Windows 11 Home Gaming Laptop - 240 Hz IPS (FA808UP-NS74 )","ASUS TUF Gaming - 18.0"" GeForce RTX 5070 Laptop GPU - AMD Ryzen 7 260 - 16GB (8GBx2) Memory - 1 TB PCIe SSD - Windows 11 Home Gaming Laptop - 240 Hz IPS (FA808UP-NS74 )",Free Shipping,1799.99
Laptop,REFURBISHED,"Lenovo ThinkPad T14 Laptop Intel Core i5-10310U 16GB Memory 512 GB SSD Intel UHD Graphics 14.0"" FHD Windows 11 Pro","REFURBISHED Lenovo ThinkPad T14 Laptop Intel Core i5-10310U 16GB Memory 512 GB SSD Intel UHD Graphics 14.0"" FHD Windows 11 Pro",,299.99
Laptop,ASUS,"Vivobook Laptop 16"" Touchscreen Copilot+ PC Intel Ultra 7 256V 16GB Memory 512 GB PCIe SSD Intel Arc Graphics Windows 11 Home TP3607SA-DS74T","ASUS Vivobook Laptop 16"" Touchscreen Copilot+ PC Intel Ultra 7 256V 16GB Memory 512 GB PCIe SSD Intel Arc Graphics Windows 11 Home TP3607SA-DS74T",,1199.99
Laptop,Lenovo,"V15 Gen 4 Business Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U, 40GB RAM, 1TB SSD, Webcam, HDMI, RJ-45, Wi-Fi 6, Windows 11 Pro, Black","Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U, 40GB RAM, 1TB SSD, Webcam, HDMI, RJ-45, Wi-Fi 6, Windows 11 Pro, Black",,579.0
Laptop,Lenovo,"ThinkPad E16 Gen 1 21JN0040US 16"" Touchscreen Notebook - WUXGA - 1920 x 1200 - Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) 1.30 GHz - 16 GB Total RAM - 512 GB SSD - Graphite Black","Lenovo ThinkPad E16 Gen 1 21JN0040US 16"" Touchscreen Notebook - WUXGA - 1920 x 1200 - Intel Core i5 13th Gen i5-1335U Deca-core (10 Core) 1.30 GHz - 16 GB Total RAM - 512 GB SSD - Graphite Black",,959.99
Laptop,Lenovo,"ThinkPad E16 Gen 2 Business Laptop (16"" FHD+ Anti-Glare, Intel Core Ultra 5 125U (> i7-1355U), 16GB DDR5 RAM, 512GB SSD) Fingerprint, Backlit, Webcam, Ethernet, Win 11 Pro, 2025 AI PC, Black","Lenovo ThinkPad E16 Gen 2 Business Laptop (16"" FHD+ Anti-Glare, Intel Core Ultra 5 125U (> i7-1355U), 16GB DDR5 RAM, 512GB SSD) Fingerprint, Backlit, Webcam, Ethernet, Win 11 Pro, 2025 AI PC, Black",,849.99
Laptop,HP,15-fc0035tg Notebook (TOUCHSCREEN) AMD Athlon Silver 7120U 8GB AMD Radeon 256GB SSD 15.6-inch HD Touchscreen Display Windows 11 Home 64-Bit,HP 15-fc0035tg Notebook (TOUCHSCREEN) AMD Athlon Silver 7120U 8GB AMD Radeon 256GB SSD 15.6-inch HD Touchscreen Display Windows 11 Home 64-Bit,,269.28
Laptop,ASUS,"ROG Strix - 18"" GeForce RTX 5070 Laptop GPU - Up to 5.20 GHz - 16GB Memory - 1TB PCIE G4 SSD SSD - Windows 11 Home Gaming Laptop - (G814PP-DS94 )","ASUS ROG Strix - 18"" GeForce RTX 5070 Laptop GPU - Up to 5.20 GHz - 16GB Memory - 1TB PCIE G4 SSD SSD - Windows 11 Home Gaming Laptop - (G814PP-DS94 )",Free Shipping,2099.99
Laptop,MSI,"- 16"" GeForce RTX 4070 Laptop GPU - Intel Core Ultra 9 185H - 32GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 240 Hz (Pulse 16 AI C1VGKG-077 )","MSI - 16"" GeForce RTX 4070 Laptop GPU - Intel Core Ultra 9 185H - 32GB Memory - 1 TB PCIe SSD - Windows 11 Home 64-bit Gaming Laptop - 240 Hz (Pulse 16 AI C1VGKG-077 )",,1899.99
Laptop,ASUS,"- ROG Zephyrus G14 (2024) 14"" OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 - RTX 4060 - White","ASUS - ROG Zephyrus G14 (2024) 14"" OLED 3K 120Hz Gaming Laptop - AMD Ryzen 9 - RTX 4060 - White",,1799.99
